ID,Source,Domain,Question,Option_A,Option_B,Option_C,Option_D,Correct_Index,Correct_Answer,Explanation,Result
924,udemy-pt5-attempt2,high-perf-arch,"A Customer relationship management (CRM) application is facing user experience issues with users reporting frequent sign-in requests from the application. The application is currently hosted on multiple Amazon EC2 instances behind an Application Load Balancer. The engineering team has identified the root cause as unhealthy servers causing session data to be lost. The team would like to implement a distributed in-memory cache-based session management solution. As a solutions architect, which of the following solutions would you recommend? Use Amazon DynamoDB for distributed in-memory cache based session management",Use Amazon RDS for distributed in-memory cache based session management,Use Amazon Elasticache for distributed in-memory cache based session management,,,1,Use Amazon Elasticache for distributed in-memory cache based session management,Correct option: Use Amazon Elasticache for distributed in-memory cache based session management Amazon ElastiCache can be used as a distributed in-memory cache for session management. Amazon ElastiCac,unknown
925,udemy-pt5-attempt2,secure-arch,"A data analytics team at a global media firm is building a new analytics platform to process large volumes of both historical and real-time data. This data is stored in Amazon S3. The team wants to implement a serverless solution that allows them to query the data directly using SQL. Additionally, the solution must ensure that all data is encrypted at rest and automatically replicated to another AWS Region to support business continuity. Which solution will meet these requirements with the LEAST operational overhead? Enable Cross-Region Replication (CRR) on the existing Amazon S3 bucket. Apply server-side encryption using AWS KMS multi-Region keys (SSE-KMS). Use Amazon Athena to run SQL queries on the replicated data",Create an Amazon S3 bucket configured with server-side encryption using AWS KMS multi-Region keys (SSE-KMS). Enable cross-Region replication (CRR) on the source bucket. Use Amazon Athena to run SQL queries on the data,Enable Cross-Region Replication (CRR) on the existing Amazon S3 bucket. Apply server-side encryption using Amazon S3 managed keys (SSE-S3). Use Amazon Athena to run SQL queries on the replicated data,,,0,Create an Amazon S3 bucket configured with server-side encryption using AWS KMS multi-Region keys (SSE-KMS). Enable cross-Region replication (CRR) on the source bucket. Use Amazon Athena to run SQL queries on the data,Correct option: Create an Amazon S3 bucket configured with server-side encryption using AWS KMS multi-Region keys (SSE-KMS). Enable cross-Region replication (CRR) on the source bucket. Use Amazon Athe,unknown
926,udemy-pt5-attempt2,high-perf-arch,"Computer vision researchers at a university are trying to optimize the I/O bound processes for a proprietary algorithm running on Amazon EC2 instances. The ideal storage would facilitate high-performance IOPS when doing file processing in a temporary storage space before uploading the results back into Amazon S3. As a solutions architect, which of the following AWS storage options would you recommend as the MOST performant as well as cost-optimal? Use Amazon EC2 instances with Amazon EBS Provisioned IOPS SSD (io1) as the storage option",Use Amazon EC2 instances with Instance Store as the storage option,Use Amazon EC2 instances with Amazon EBS General Purpose SSD (gp2) as the storage option,,,0,Use Amazon EC2 instances with Instance Store as the storage option,Correct option: Use Amazon EC2 instances with Instance Store as the storage option An instance store provides temporary block-level storage for your instance. This storage is located on disks that are,unknown
927,udemy-pt5-attempt2,resilient-arch,"The engineering team at a retail company manages 3 Amazon EC2 instances that make read-heavy database requests to the Amazon RDS for the PostgreSQL database instance. As an AWS Certified Solutions Architect - Associate, you have been tasked to make the database instance resilient from a disaster recovery perspective. Which of the following features will help you in disaster recovery of the database? (Select two)",Enable the automated backup feature of Amazon RDS in a multi-AZ deployment that creates backups across multiple Regions,Use cross-Region Read Replicas,,,1,Use cross-Region Read Replicas,"Correct options: Use cross-Region Read Replicas In addition to using Read Replicas to reduce the load on your source database instance, you can also use Read Replicas to implement a DR solution for yo",unknown
928,udemy-pt5-attempt2,resilient-arch,"A fintech company currently operates a real-time search and analytics platform on-premises. This platform ingests streaming data from multiple data-producing systems and provides immediate search capabilities and interactive visualizations for end users. As part of its cloud migration strategy, the company wants to rearchitect the solution using AWS-native services. Which of the following represents the most efficient solution?",Use AWS Glue streaming ETL to process data streams and load the data into Amazon Redshift. Use Amazon Redshift’s full-text search capabilities for querying. Use Amazon QuickSight for data visualizations,"Ingest and process the streaming data using Amazon Kinesis Data Streams, then index the data with Amazon OpenSearch Service for real-time search capabilities. Use Amazon QuickSight to build interactive dashboards and visualizations based on the indexed data",,,1,"Ingest and process the streaming data using Amazon Kinesis Data Streams, then index the data with Amazon OpenSearch Service for real-time search capabilities. Use Amazon QuickSight to build interactive dashboards and visualizations based on the indexed data","Correct option: Ingest and process the streaming data using Amazon Kinesis Data Streams, then index the data with Amazon OpenSearch Service for real-time search capabilities. Use Amazon QuickSight to ",unknown
929,udemy-pt5-attempt2,high-perf-arch,"A media company is evaluating the possibility of moving its IT infrastructure to the AWS Cloud. The company needs at least 10 terabytes of storage with the maximum possible I/O performance for processing certain files which are mostly large videos. The company also needs close to 450 terabytes of very durable storage for storing media content and almost double of it, i.e. 900 terabytes for archival of legacy data. As a Solutions Architect, which set of services will you recommend to meet these requirements? Amazon EC2 instance store for maximum performance, AWS Storage Gateway for on-premises durable data access and Amazon S3 Glacier Deep Archive for archival storage Amazon EBS for maximum performance, Amazon S3 for durable data storage, and Amazon S3 Glacier for archival storage","Amazon EC2 instance store for maximum performance, Amazon S3 for durable data storage, and Amazon S3 Glacier for archival storage","Amazon S3 standard storage for maximum performance, Amazon S3 Intelligent-Tiering for intelligent, durable storage, and Amazon S3 Glacier Deep Archive for archival storage",,,0,"Amazon EC2 instance store for maximum performance, Amazon S3 for durable data storage, and Amazon S3 Glacier for archival storage","Correct option: Amazon EC2 instance store for maximum performance, Amazon S3 for durable data storage, and Amazon S3 Glacier for archival storage An instance store provides temporary block-level stora",unknown
930,udemy-pt5-attempt2,resilient-arch,"A SaaS analytics company is deploying a microservices-based application on Amazon ECS using the Fargate launch type. The application requires access to a shared, POSIX-compliant file system that is available across multiple Availability Zones for redundancy and availability. To meet compliance requirements, the system must support regional backups and cross-Region data recovery with a recovery point objective (RPO) of no more than 8 hours. A backup strategy will be implemented using AWS Backup to automate replication across Regions. As the lead cloud architect, you are evaluating file storage solutions that align with these requirements. Which option best meets the application’s availability, durability, and RPO objectives?",Use Amazon Elastic File System (Amazon EFS) with the Standard storage class and configure AWS Backup to create cross-Region backups on a scheduled basis,Deploy Amazon FSx for Lustre and configure a backup plan using AWS Backup for cross-Region replication of the file system metadata,,,0,Use Amazon Elastic File System (Amazon EFS) with the Standard storage class and configure AWS Backup to create cross-Region backups on a scheduled basis,"Correct option: Use Amazon Elastic File System (Amazon EFS) with the Standard storage class and configure AWS Backup to create cross-Region backups on a scheduled basis Amazon EFS is a fully managed, ",unknown
931,udemy-pt5-attempt2,resilient-arch,"A leading media company wants to do an accelerated online migration of hundreds of terabytes of files from their on-premises data center to Amazon S3 and then establish a mechanism to access the migrated data for ongoing updates from the on-premises applications. As a solutions architect, which of the following would you select as the MOST performant solution for the given use-case? Use AWS DataSync to migrate existing data to Amazon S3 as well as access the Amazon S3 data for ongoing updates",Use Amazon S3 Transfer Acceleration (Amazon S3TA) to migrate existing data to Amazon S3 and then use AWS DataSync for ongoing updates from the on-premises applications,Use AWS DataSync to migrate existing data to Amazon S3 and then use File Gateway to retain access to the migrated data for ongoing updates from the on-premises applications,,,1,Use AWS DataSync to migrate existing data to Amazon S3 and then use File Gateway to retain access to the migrated data for ongoing updates from the on-premises applications,Correct option: Use AWS DataSync to migrate existing data to Amazon S3 and then use File Gateway to retain access to the migrated data for ongoing updates from the on-premises applications AWS DataSyn,unknown
932,udemy-pt5-attempt2,secure-arch,An application hosted on Amazon EC2 contains sensitive personal information about all its customers and needs to be protected from all types of cyber-attacks. The company is considering using the AWS Web Application Firewall (AWS WAF) to handle this requirement. Can you identify the correct solution leveraging the capabilities of AWS WAF?,Create Amazon CloudFront distribution for the application on Amazon EC2 instances. Deploy AWS WAF on Amazon CloudFront to provide the necessary safety measures,Configure an Application Load Balancer (ALB) to balance the workload for all the Amazon EC2 instances. Configure Amazon CloudFront to distribute from an Application Load Balancer since AWS WAF cannot be directly configured on ALB. This configuration not only provides necessary safety but is scalable too,,,0,Create Amazon CloudFront distribution for the application on Amazon EC2 instances. Deploy AWS WAF on Amazon CloudFront to provide the necessary safety measures,Correct option: Create Amazon CloudFront distribution for the application on Amazon EC2 instances. Deploy AWS WAF on Amazon CloudFront to provide the necessary safety measures When you use AWS WAF wit,unknown
933,udemy-pt5-attempt2,secure-arch,"A financial auditing firm uses Amazon S3 to store sensitive client records that are subject to write-once-read-many (WORM) regulations to prevent alteration or deletion of records for a specific retention period. The firm wants to enforce immutable storage, such that even administrators cannot overwrite or delete the records during the lock duration. They also need audit-friendly enforcement to prevent accidental or malicious deletion. Which configuration of S3 Object Lock will ensure that the retention policy is strictly enforced, and no user (including root or administrators) can override or delete protected objects during the lock period? Use S3 Object Lock in Governance Mode, which allows only IAM users with elevated permissions to override or remove retention settings","Use S3 Object Lock in Compliance Mode, which enforces retention policies strictly and prevents all users from modifying or deleting data during the retention period",Enable S3 Versioning and set a bucket policy that denies s3:DeleteObject to all users during the retention period,,,0,"Use S3 Object Lock in Compliance Mode, which enforces retention policies strictly and prevents all users from modifying or deleting data during the retention period","Correct option: Use S3 Object Lock in Compliance Mode, which enforces retention policies strictly and prevents all users from modifying or deleting data during the retention period S3 Object Lock in C",unknown
934,udemy-pt5-attempt2,resilient-arch,"A global enterprise is modernizing its hybrid IT infrastructure to improve both availability and network performance. The company operates a TCP-based application hosted on Amazon EC2 instances that are deployed across multiple AWS Regions, while a secondary UDP-based component of the application is hosted in its on-premises data centers. These application components must be accessed by customers around the world with minimal latency and consistent uptime. Which combination of options should a solutions architect implement for the given use case? (Select two) Set up AWS Direct Connect connections to route all TCP and UDP traffic through a single Region, using static routes and BGP failover","Create a Network Load Balancer (NLB) in each Region to handle the EC2-based TCP traffic. For the UDP-based on-premises workload, configure NLBs in each Region to route to the on-premises endpoints via IP-based target groups","Configure an AWS Global Accelerator standard accelerator, and register the TCP-based EC2 workloads behind the load balancers",,,1,"Configure an AWS Global Accelerator standard accelerator, and register the TCP-based EC2 workloads behind the load balancers","Correct options: Configure an AWS Global Accelerator standard accelerator, and register the TCP-based EC2 workloads behind the load balancers AWS Global Accelerator supports improving the availability",unknown
935,udemy-pt5-attempt2,high-perf-arch,"The engineering team at a weather tracking company wants to enhance the performance of its relational database and is looking for a caching solution that supports geospatial data. As a solutions architect, which of the following solutions will you suggest? Use AWS Global Accelerator",Use Amazon DynamoDB Accelerator (DAX),Use Amazon ElastiCache for Redis,,,1,Use Amazon ElastiCache for Redis,"Correct option: Use Amazon ElastiCache for Redis Amazon ElastiCache is a web service that makes it easy to set up, manage, and scale a distributed in-memory data store or cache environment in the clou",unknown
936,udemy-pt5-attempt2,secure-arch,"A media company operates a web application that enables users to upload photos. These uploads are stored in an Amazon S3 bucket located in the eu-west-2 Region. To enhance performance and provide secure access under a custom domain name, the company wants to integrate Amazon CloudFront for uploads to the S3 bucket. The architecture must support secure HTTPS connections using a custom domain, and the upload process must ensure optimal speed and security. Which combination of actions will fulfill these requirements? (Select two) Correct selection Request a public certificate from AWS Certificate Manager (ACM) in the us-east-1 Region and associate it with the CloudFront distribution",Set up Amazon S3 to accept uploads from CloudFront by enabling origin access control (OAC),Create a CloudFront distribution with an S3 static website endpoint as the origin and enable upload operations,,,0,Set up Amazon S3 to accept uploads from CloudFront by enabling origin access control (OAC),Correct options: Request a public certificate from AWS Certificate Manager (ACM) in the us-east-1 Region and associate it with the CloudFront distribution CloudFront only supports ACM certificates tha,unknown
937,udemy-pt5-attempt2,cost-optimized-arch,"A financial data processing company runs a workload on Amazon EC2 instances that fetch and process real-time transaction batches from an Amazon SQS queue. The application needs to scale based on unpredictable message volume, which fluctuates significantly throughout the day. The system must process messages with minimal delay and no downtime, even during peak spikes. The company is seeking a solution that balances cost-efficiency with availability and elasticity. Which EC2 purchasing strategy best meets these requirements in the most cost-effective manner?",Use Reserved Instances for the baseline level of traffic and configure EC2 Auto Scaling with Spot Instances to handle spikes in message volume,Use EC2 Reserved Instances for the baseline workload and configure EC2 Auto Scaling to launch On-Demand Instances for all traffic spikes,,,0,Use Reserved Instances for the baseline level of traffic and configure EC2 Auto Scaling with Spot Instances to handle spikes in message volume,Correct option: Use Reserved Instances for the baseline level of traffic and configure EC2 Auto Scaling with Spot Instances to handle spikes in message volume This blended approach is ideal for worklo,unknown
938,udemy-pt5-attempt2,cost-optimized-arch,The data engineering team at an e-commerce company has set up a workflow to ingest the clickstream data into the raw zone of the Amazon S3 data lake. The team wants to run some SQL based data sanity checks on the raw zone of the data lake. What AWS services would you recommend for this use-case such that the solution is cost-effective and easy to maintain?,Load the incremental raw zone data into Amazon RDS on an hourly basis and run the SQL based sanity checks,Use Amazon Athena to run SQL based analytics against Amazon S3 data,,,1,Use Amazon Athena to run SQL based analytics against Amazon S3 data,Correct option: Use Amazon Athena to run SQL based analytics against Amazon S3 data Amazon Athena is an interactive query service that makes it easy to analyze data directly in Amazon S3 using standar,unknown
939,udemy-pt5-attempt2,secure-arch,"A retail company wants to establish encrypted network connectivity between its on-premises data center and AWS Cloud. The company wants to get the solution up and running in the fastest possible time and it should also support encryption in transit. As a solutions architect, which of the following solutions would you suggest to the company?",Use AWS Direct Connect to establish encrypted network connectivity between the on-premises data center and AWS Cloud,Use AWS Site-to-Site VPN to establish encrypted network connectivity between the on-premises data center and AWS Cloud,,,1,Use AWS Site-to-Site VPN to establish encrypted network connectivity between the on-premises data center and AWS Cloud,Correct option: Use AWS Site-to-Site VPN to establish encrypted network connectivity between the on-premises data center and AWS Cloud AWS Site-to-Site VPN enables you to securely connect your on-prem,unknown
940,udemy-pt5-attempt2,high-perf-arch,"A tech company runs a web application that includes multiple internal services deployed across Amazon EC2 instances within a VPC. These services require communication with a third-party SaaS provider's API for analytics and billing, which is also hosted on the AWS infrastructure. The company is concerned about minimizing public internet exposure while maintaining secure and reliable connectivity. The solution must ensure private access without allowing unsolicited incoming traffic from the SaaS provider. Which solution will best meet these requirements? Set up VPC peering between the application VPC and the SaaS provider’s VPC to allow direct communication Use AWS CloudFront to route requests from the application’s internal services to the SaaS provider through edge locations",Use AWS PrivateLink to create a private endpoint within the application’s VPC that connects securely to the SaaS provider’s VPC,Establish a VPN connection using AWS Site-to-Site VPN to create a secure tunnel between the internal services and the third-party SaaS provider,,,0,Use AWS PrivateLink to create a private endpoint within the application’s VPC that connects securely to the SaaS provider’s VPC,Correct option: Use AWS PrivateLink to create a private endpoint within the application’s VPC that connects securely to the SaaS provider’s VPC AWS PrivateLink is a fully managed service that enables ,unknown
941,udemy-pt5-attempt2,resilient-arch,The engineering team at an e-commerce company uses an AWS Lambda function to write the order data into a single DB instance Amazon Aurora cluster. The team has noticed that many order- writes to its Aurora cluster are getting missed during peak load times. The diagnostics data has revealed that the database is experiencing high CPU and memory consumption during traffic spikes. The team also wants to enhance the availability of the Aurora DB. Which of the following steps would you combine to address the given scenario? (Select two) Correct selection Handle all read operations for your application by connecting to the reader endpoint of the Amazon Aurora cluster so that Aurora can spread the load for read-only connections across the Aurora replica Increase the concurrency of the AWS Lambda function so that the order-writes do not get missed during traffic spikes,Create a standby Aurora instance in another Availability Zone to improve the availability as the standby can serve as a failover target,Create a replica Aurora instance in another Availability Zone to improve the availability as the replica can serve as a failover target,,,1,Create a replica Aurora instance in another Availability Zone to improve the availability as the replica can serve as a failover target,Correct options: Handle all read operations for your application by connecting to the reader endpoint of the Amazon Aurora cluster so that Aurora can spread the load for read-only connections across t,unknown
942,udemy-pt5-attempt2,resilient-arch,"A company wants to ensure high availability for its Amazon RDS database. The development team wants to opt for Multi-AZ deployment and they would like to understand what happens when the primary instance of the Multi-AZ configuration goes down. As a Solutions Architect, which of the following will you identify as the outcome of the scenario?",The CNAME record will be updated to point to the standby database,The URL to access the database will change to the standby database,,,0,The CNAME record will be updated to point to the standby database,Correct option: The CNAME record will be updated to point to the standby database Amazon RDS provides high availability and failover support for DB instances using Multi-AZ deployments. Amazon RDS use,unknown
943,udemy-pt5-attempt2,high-perf-arch,"A multinational logistics company operates its shipment tracking platform from Amazon EC2 instances deployed in the AWS us-west-2 Region. The platform exposes a set of APIs over HTTPS, which are used by logistics partners and customers around the world to retrieve real-time tracking data. The company has observed that users from Europe and Asia experience latency issues and inconsistent API response times when accessing the service. As a cloud architect, you have been tasked to propose the most cost-effective solution to improve performance for these international users without migrating the application. Which solution should you recommend?",Set up AWS Global Accelerator with listeners configured for HTTPS. Create endpoint groups for Europe and Asia and add the existing us-west-2 EC2 endpoint to these groups,Deploy an Amazon CloudFront distribution in front of the API endpoint and apply the CachingOptimized managed policy to enhance caching behavior and improve content delivery efficiency,,,0,Set up AWS Global Accelerator with listeners configured for HTTPS. Create endpoint groups for Europe and Asia and add the existing us-west-2 EC2 endpoint to these groups,Correct option: Set up AWS Global Accelerator with listeners configured for HTTPS. Create endpoint groups for Europe and Asia and add the existing us-west-2 EC2 endpoint to these groups This option is,unknown
944,udemy-pt5-attempt2,secure-arch,"A silicon valley based healthcare startup uses AWS Cloud for its IT infrastructure. The startup stores patient health records on Amazon Simple Storage Service (Amazon S3). The engineering team needs to implement an archival solution based on Amazon S3 Glacier to enforce regulatory and compliance controls on data access. As a solutions architect, which of the following solutions would you recommend? Use Amazon S3 Glacier to store the sensitive archived data and then use an Amazon S3 lifecycle policy to enforce compliance controls",Use Amazon S3 Glacier vault to store the sensitive archived data and then use an Amazon S3 Access Control List to enforce compliance controls,Use Amazon S3 Glacier vault to store the sensitive archived data and then use a vault lock policy to enforce compliance controls,,,1,Use Amazon S3 Glacier vault to store the sensitive archived data and then use a vault lock policy to enforce compliance controls,"Correct option: Use Amazon S3 Glacier vault to store the sensitive archived data and then use a vault lock policy to enforce compliance controls Amazon S3 Glacier is a secure, durable, and extremely l",unknown
945,udemy-pt5-attempt2,high-perf-arch,"You are a cloud architect at an IT company. The company has multiple enterprise customers that manage their own mobile applications that capture and send data to Amazon Kinesis Data Streams. They have been getting a `ProvisionedThroughputExceededException` exception. You have been contacted to help and upon analysis, you notice that messages are being sent one by one at a high rate. Which of the following options will help with the exception while keeping costs at a minimum? Use Exponential Backoff",Use batch messages,Increase the number of shards,,,0,Use batch messages,Correct option: Use batch messages Amazon Kinesis Data Streams (KDS) is a massively scalable and durable real-time data streaming service. KDS can continuously capture gigabytes of data per second fro,unknown
946,udemy-pt5-attempt2,resilient-arch,A DevOps team is tasked with enabling secure and temporary SSH access to Amazon EC2 instances for developers during deployments. The team wants to avoid distributing long-term SSH key pairs and instead prefers ephemeral access that can be audited and revoked immediately after the session ends. The team wants direct access via the AWS Management Console. What do you recommend?,Use EC2 Instance Connect to inject a temporary public key and establish SSH access using the instance’s public IP address,"Use an EC2 Instance Connect Endpoint to reach the instances even though they already have public IP addresses, because Instance Connect requires an endpoint for all SSH sessions",,,0,Use EC2 Instance Connect to inject a temporary public key and establish SSH access using the instance’s public IP address,Correct option: Use EC2 Instance Connect to inject a temporary public key and establish SSH access using the instance’s public IP address Amazon EC2 Instance Connect provides a secure and auditable wa,unknown
947,udemy-pt5-attempt2,resilient-arch,A pharmaceutical company is considering moving to AWS Cloud to accelerate the research and development process. Most of the daily workflows would be centered around running batch jobs on Amazon EC2 instances with storage on Amazon Elastic Block Store (Amazon EBS) volumes. The CTO is concerned about meeting HIPAA compliance norms for sensitive data stored on Amazon EBS. Which of the following options outline the correct capabilities of an encrypted Amazon EBS volume? (Select three) Data at rest inside the volume is NOT encrypted,Data at rest inside the volume is encrypted,Any snapshot created from the volume is encrypted,Data moving between the volume and the instance is encrypted,,2,Data moving between the volume and the instance is encrypted,Correct options: Data at rest inside the volume is encrypted Any snapshot created from the volume is encrypted,unknown
948,udemy-pt5-attempt2,resilient-arch,"An e-commerce company uses a two-tier architecture with application servers in the public subnet and an Amazon RDS MySQL DB in a private subnet. The development team can use a bastion host in the public subnet to access the MySQL database and run queries from the bastion host. However, end-users are reporting application errors. Upon inspecting application logs, the team notices several ""could not connect to server: connection timed out"" error messages. Which of the following options represent the root cause for this issue? The database user credentials (username and password) configured for the application are incorrect",The security group configuration for the database instance does not have the correct rules to allow inbound connections from the application servers,The security group configuration for the application servers does not have the correct rules to allow inbound connections from the database instance,,,0,The security group configuration for the database instance does not have the correct rules to allow inbound connections from the application servers,Correct option: The security group configuration for the database instance does not have the correct rules to allow inbound connections from the application servers You should use security groups to c,unknown
949,udemy-pt5-attempt2,secure-arch,"The content division at a digital media agency has an application that generates a large number of files on Amazon S3, each approximately 10 megabytes in size. The agency mandates that the files be stored for 5 years before they can be deleted. The files are frequently accessed in the first 30 days of the object creation but are rarely accessed after the first 30 days. The files contain critical business data that is not easy to reproduce, therefore, immediate accessibility is always required. Which solution is the MOST cost-effective for the given use case? Set up an Amazon S3 bucket lifecycle policy to move files from Amazon S3 Standard to Amazon S3 One Zone-IA 30 days after object creation. Delete the files 5 years after object creation",Set up an Amazon S3 bucket lifecycle policy to move files from Amazon S3 Standard to Amazon S3 Standard-IA 30 days after object creation. Archive the files to Amazon S3 Glacier Deep Archive 5 years after object creation,Set up an Amazon S3 bucket lifecycle policy to move files from Amazon S3 Standard to Amazon S3 Standard-IA 30 days after object creation. Delete the files 5 years after object creation,,,1,Set up an Amazon S3 bucket lifecycle policy to move files from Amazon S3 Standard to Amazon S3 Standard-IA 30 days after object creation. Delete the files 5 years after object creation,Correct option: Set up an Amazon S3 bucket lifecycle policy to move files from Amazon S3 Standard to Amazon S3 Standard-IA 30 days after object creation. Delete the files 5 years after object creation,unknown
950,udemy-pt5-attempt2,resilient-arch,"An enterprise runs a critical Oracle database workload in its on-premises environment. The company now plans to replicate both existing records and continuous transactional changes to a managed Oracle environment in AWS. The target database will run on Amazon RDS for Oracle. Data transfer volume is expected to fluctuate throughout the day, and the team wants the solution to provision compute resources automatically based on actual workload requirements. Which solution will meet these requirements? Use AWS Lambda to capture change data from the on-premises Oracle database. Trigger Lambda functions to write the updates to Amazon RDS for Oracle in real time.",Configure an AWS DMS Serverless replication task to synchronize historical and ongoing changes between the on-premises Oracle database and Amazon RDS for Oracle,Use AWS Glue to extract data from the on-premises Oracle database and write the output to Amazon RDS for Oracle. Configure Glue to run on demand when changes are detected,,,0,Configure an AWS DMS Serverless replication task to synchronize historical and ongoing changes between the on-premises Oracle database and Amazon RDS for Oracle,Correct option: Configure an AWS DMS Serverless replication task to synchronize historical and ongoing changes between the on-premises Oracle database and Amazon RDS for Oracle AWS DMS Serverless is d,unknown
951,udemy-pt4-attempt3,high-perf-arch,"You have developed a new REST API leveraging the Amazon API Gateway, AWS Lambda and Amazon Aurora database services. Most of the workload on the website is read-heavy. The data rarely changes and it is acceptable to serve users outdated data for about 24 hours. Recently, the website has been experiencing high load and the costs incurred on the Aurora database have been very high. How can you easily reduce the costs while improving performance, with minimal changes?",Enable AWS Lambda In Memory Caching,Enable Amazon API Gateway Caching,,,1,Enable Amazon API Gateway Caching,"Correct option: Enable Amazon API Gateway Caching Amazon API Gateway is a fully managed service that makes it easy for developers to create, publish, maintain, monitor, and secure APIs at any scale. A",unknown
952,udemy-pt4-attempt3,resilient-arch,"A global pharmaceutical company operates a hybrid cloud network. Its primary AWS workloads run in the us-west-2 Region, connected to its on-premises data center via an AWS Direct Connect connection. After acquiring a biotech firm headquartered in Europe, the company must integrate the biotech’s workloads, which are hosted in several VPCs in the eu-central-1 Region and connected to the biotech's on-premises facility through a separate Direct Connect link. All CIDR blocks are non-overlapping, and the business requires full connectivity between both data centers and all VPCs across the two Regions. The company also wants a scalable solution that minimizes manual network configuration and long-term operational overhead. Which solution will best meet these requirements? Create private VIFs (virtual interfaces) in each Region and associate them directly with foreign-region VPCs using routing table entries and BGP. Use VPC endpoints in each account to forward cross-Region traffic",Establish inter-Region VPC peering between each VPC in the us-west-2 and eu-central-1 Regions. Use static routing tables in each VPC to define peer relationships and enable cross-Region communication,"Connect both Direct Connect links to a shared Direct Connect gateway. Attach each Region's virtual private gateway (VGW) to the Direct Connect gateway, enabling transitive routing between the VPCs and the on-premises networks across Regions",,,1,"Connect both Direct Connect links to a shared Direct Connect gateway. Attach each Region's virtual private gateway (VGW) to the Direct Connect gateway, enabling transitive routing between the VPCs and the on-premises networks across Regions","Correct option: Connect both Direct Connect links to a shared Direct Connect gateway. Attach each Region's virtual private gateway (VGW) to the Direct Connect gateway, enabling transitive routing betw",unknown
953,udemy-pt4-attempt3,resilient-arch,"A company wants to adopt a hybrid cloud infrastructure where it uses some AWS services such as Amazon S3 alongside its on-premises data center. The company wants a dedicated private connection between the on-premise data center and AWS. In case of failures though, the company needs to guarantee uptime and is willing to use the public internet for an encrypted connection. What do you recommend? (Select two)",Use AWS Site-to-Site VPN as a backup connection,Use AWS Direct Connect connection as a primary connection,,,1,Use AWS Direct Connect connection as a primary connection,Correct options: Use AWS Direct Connect connection as a primary connection AWS Direct Connect lets you establish a dedicated network connection between your network and one of the AWS Direct Connect l,unknown
954,udemy-pt4-attempt3,resilient-arch,A social media company wants the capability to dynamically alter the size of a geographic area from which traffic is routed to a specific server resource. Which feature of Amazon Route 53 can help achieve this functionality?,Geoproximity routing,Weighted routing,,,0,Geoproximity routing,Correct option: Geoproximity routing Geoproximity routing lets Amazon Route 53 route traffic to your resources based on the geographic location of your users and your resources. You can also optionall,unknown
955,udemy-pt4-attempt3,resilient-arch,"You started a new job as a solutions architect at a company that has both AWS experts and people learning AWS. Recently, a developer misconfigured a newly created Amazon RDS database which resulted in a production outage. How can you ensure that Amazon RDS specific best practices are incorporated into a reusable infrastructure template to be used by all your AWS users? Create an AWS Lambda function which sends emails when it finds misconfigured Amazon RDS databases Store your recommendations in a custom AWS Trusted Advisor rule",Attach an IAM policy to interns preventing them from creating an Amazon RDS database,Use AWS CloudFormation to manage Amazon RDS databases,,,1,Use AWS CloudFormation to manage Amazon RDS databases,Correct option: Use AWS CloudFormation to manage Amazon RDS databases AWS CloudFormation provides a common language for you to model and provision AWS and third-party application resources in your clo,unknown
956,udemy-pt4-attempt3,high-perf-arch,A company's business logic is built on several microservices that are running in the on-premises data center. They currently communicate using a message broker that supports the MQTT protocol. The company is looking at migrating these applications and the message broker to AWS Cloud without changing the application logic. Which technology allows you to get a managed message broker that supports the MQTT protocol? Amazon Kinesis Data Streams,Amazon Simple Queue Service (Amazon SQS),Amazon MQ,,,1,Amazon MQ,Correct option: Amazon MQ Amazon MQ is a managed message broker service for Apache ActiveMQ that makes it easy to set up and operate message brokers in the cloud. Message brokers allow different softw,unknown
957,udemy-pt4-attempt3,resilient-arch,"An e-commerce company has copied 1 petabyte of data from its on-premises data center to an Amazon S3 bucket in the `us-west-1` Region using an AWS Direct Connect link. The company now wants to set up a one-time copy of the data to another Amazon S3 bucket in the `us-east-1` Region. The on-premises data center does not allow the use of AWS Snowball. As a Solutions Architect, which of the following options can be used to accomplish this goal? (Select two) Use AWS Snowball Edge device to copy the data from one Region to another Region",Copy data from the source bucket to the destination bucket using the aws S3 sync command,Set up Amazon S3 Transfer Acceleration (Amazon S3TA) to copy objects across Amazon S3 buckets in different Regions using S3 console,,,0,Copy data from the source bucket to the destination bucket using the aws S3 sync command,Correct options: Copy data from the source bucket to the destination bucket using the aws S3 sync command The aws S3 sync command uses the CopyObject APIs to copy objects between Amazon S3 buckets. Th,unknown
958,udemy-pt4-attempt3,cost-optimized-arch,"You are working as a Solutions Architect for a photo processing company that has a proprietary algorithm to compress an image without any loss in quality. Because of the efficiency of the algorithm, your clients are willing to wait for a response that carries their compressed images back. You also want to process these jobs asynchronously and scale quickly, to cater to the high demand. Additionally, you also want the job to be retried in case of failures. Which combination of choices do you recommend to minimize cost and comply with the requirements? (Select two)",Amazon EC2 On-Demand Instances,Amazon Simple Queue Service (Amazon SQS),,,1,Amazon Simple Queue Service (Amazon SQS),Correct options: Amazon EC2 Spot Instances A Spot Instance is an unused Amazon EC2 instance that is available for less than the On-Demand price. Because Spot Instances enable you to request unused Ama,unknown
